column_name,description
DRNKANY5,Adults who reported having had at least one drink of alcohol in the past 30 days.
DRNKDRI2,"During the past 30 days
DROCDY3_,Drink-occasions-per-day
DRVISITS,"How many times have you been to a doctor
ECIGARET,"Have you ever used an e-cigarette or other electronic “vaping” product
ECIGNOW,"Do you now use e-cigarettes or other electronic “vaping” products every day
ECIGNOW2,Would you say you have never used e-cigarettes or other electronic vaping products in your entire life or now
EDUCA,What is the highest grade or year of school you completed ?
EMPLOY1,Are you currently… ?
EMTSUPRT,How often do you get the social and emotional support you need?
EOR,End of Data-Submission Record Marker
EXERACT3,Earlier you indicated you participated in physical activities or exercises. What type of
EXERANY2,"During the past month
EXERHMM1,"And when you took part in this activity
EXEROFT1,How many times per week or per month did you take part in this activity during the past month?
EXOFTSTR,"During the past month
EXRACT11,What type of physical activity or exercise did you spend the most time doing during the past month?
EXRACT21,What other type of physical activity gave you the next most exercise during the past month?
EYEEXAM1,"When was the last time you had an eye exam in which the pupils were dilated
FALL12MN,"In the past 12 months
FALLINJ2,[Fill in “Did this fall (from FALL12MN) cause an injury?”]. If only one fall from
FALLINJ3,Did this fall cause an injury? How many of these falls caused an injury that limited your regular activities for at least a day?
FALLINJ4,How many of these falls caused an injury that limited your regular activities for at least a day or caused you to go to see a doctor?
FC601_,Estimated Functional Capacity
FEETCHK,"About how many times in the past 12 months has a doctor
FEETCHK2,About how often do you check your feet for any sores or irritations? Include times when
FEETCHK3,"Including times when checked by a family member or friend
FEETSORE,Have you ever had any sores or irritations on your feet that took more than four weeks to heal?
FIREARM4,Are any firearms now kept in or around your home?
FIREARM5,Are any firearms now kept in or around your home?
FIRSTAID,"If you thought someone was having a heart attack or a stroke
FLSHTMY3,During what month and year did you receive your most recent flu vaccine that was sprayed in your nose or flu
FLUSHOT6,"During the past 12 months
FLUSHOT7,"During the past 12 months
FMONTH,File Month
FOODSTMP,"In the past 12 months
FRENCHF1,"How often did you eat any kind of fried potatoes
FRNCHDA_,French Fry intake in times per day
FRUIT2,"Not including juices
FRUITJU2,"Not including fruit-flavored drinks or fruit juices with added sugar
FTJUDA2_,Fruit juice intake in times per day
FVGREEN1,"How often did you eat a green leafy or lettuce salad
GENHLTH,Would you say that in general your health is—
GRENDA1_,Dark green vegetable intake in times per day
GUNLOAD,Are any of these firearms now loaded?
HADHYST2,Have you had a hysterectomy? (A hysterectomy is an operation to remove the uterus (womb).)
HADMAM,Have you ever had a mammogram?
HADPAP2,A Pap test is a test for cancer of the cervix. Have you ever had a Pap test?
HADSEX,"In the past 12 months
HADSGCO1,"For a SIGMOIDOSCOPY
HADSIGM3,Sigmoidoscopy and colonoscopy are exams in which a tube is inserted in the rectum to
HADSIGM4,Colonoscopy and sigmoidoscopy are exams to check for colon cancer. Have you ever had either of these exams?
HAREHAB1,"Following your heart attack
HASYMP1,"(Do you think) pain or discomfort in the jaw
HASYMP2,"(Do you think) feeling weak
HASYMP3,(Do you think) chest pain or discomfort (are symptoms of a heart attack)?
HASYMP4,(Do you think) sudden trouble seeing in one or both eyes (are symptoms of a heart attack)?
HASYMP5,(Do you think) pain or discomfort in the arms or shoulder (are symptoms of a heart attack)?
HASYMP6,(Do you think) shortness of breath (is a symptom of a heart attack)?
HAVARTH4,"(Ever told) (you had) some form of arthritis
HAVECFS,Do you still have Chronic Fatigue Syndrome (CFS) or (Myalgic Encephalomyelitis) ME?
HAVEHEPB,Has a doctor or other health professional ever told you that you had prediabetes or borderline diabetes? (If
HAVEHEPC,Do you still have Hepatitis C?
HEATTBCO,"Before today
HEIGHT3,About how tall are you without shoes?
HHADULT,"How many members of your household
HISPANC3,"Are you Hispanic
HIVRISK5,"I am going to read you a list. When I am done
HIVTST6,Have you ever been tested for HIV? Do not count tests you may have had as part of a
HIVTST7,"Including fluid testing from your mouth
HIVTSTD3,"Not including blood donations
HLTHCVR1,What is the PRIMARY source of your health care coverage? Is it …
HLTHPLN1,"Do you have any kind of health care coverage
HOMBPCHK,Has your doctor nurse or other health professional recommended you check your blood pressure outside of the
HOMRGCHK,Do you regularly check your blood pressure outside of your healthcare professional’s office or at home?
HOWLONG,How long has it been since you had your last mammogram?
HOWSAFE1,How safe from crime do you consider your neighborhood to be?
HPVADSHT,How many HPV shots did you receive?
HPVADVC2,"Have you ever had the H.P.V. vaccination? (Human Papilloma Virus (Human Pap•uh•loh•muh Virus)
HPVADVC3,Have you ever had the Human Papilloma virus vaccination or HPV vaccination?
HPVADVC4,Have you ever had an H.P.V. vaccination?
HPVTEST,An HPV test is sometimes given with the Pap test for cervical cancer screening. Have you ever had an HPV test?
HTIN4,Reported height in inches
HTM4,Reported height in meters
IDATE,Interview Date
IDAY,Interview Day
IMFVPLAC,At what kind of place did you get your last flu shot or vaccine?
IMONTH,Interview Month
INCOME2,Is your annual household income from all sources—
INCOME3,"Is your annual household income from all sources: (If respondent refuses at any income level
INDORTAN,"Not including spray-on tans
INSULIN1,Are you now taking insulin?
INTERNET,Have you used the internet in the past 30 days?
INTRO,Introduction to State-Added Questions
INTVID,Interviewer Identification
IYEAR,Interview Year
JOINPAI1,"On a scale of 0 to 10 where 0 is no pain or aching and 10 is pain or aching as bad as it can be
JOINPAI2,"During the past 30 days
LADULT1,Are you 18 years of age or older?
LANDLINE,Do you also have a landline telephone in your home that is used to make and receive calls?
LASTDEN3,How long has it been since you last visited a dentist or a dental clinic for any reason?
LASTDEN4,"Including all types of dentists
LASTSIG3,How long has it been since you had your last sigmoidoscopy or colonoscopy?
LASTSIG4,How long has it been since your most recent colonoscopy or sigmoidoscopy?
LASTSMK2,"About how long has it been since you last smoked a cigarette
LCSCTSC1,Have you ever had a CT or CAT scan of your chest area?
LCSCTSCN,"In the last 12 months
LCSCTWHN,When did you have your most recent CT or CAT scan of your chest area mainly to check or screen for lung cancer?
LCSFIRST,You’ve told us that you have smoked in the past or are currently smoking. The next questions are about screening for lung cancer. How old were you when you first started to smoke cigarettes regularly?
LCSLAST,How old were you when you last smoked cigarettes regularly?
LCSNUMCG,"On average
LCSSCNCR,Were any of the CT or CAT scans of your chest area done mainly to check or screen for lung cancer?
LENGEXAM,How long has it been since your last breast exam?
LMTJOIN3,Are you now limited in any way in any of your usual activities because of arthritis or joint symptoms?
LOADULK2,Are any of these loaded firearms also unlocked? [By “unlocked” we mean you do not need a key or a
LSATISFY,"In general
LSTBLDS3,How long has it been since you had your last blood stool test using a home kit?
LSTCOVRG,About how long has it been since you last had health care coverage?
MARIJAN1,"During the past 30 days
MARITAL,Are you: (marital status)
MARJDAB,"…dab it (for example
MARJEAT,"…eat it or drink it (for example
MARJOTHR,…use it in some other way?
MARJSMOK,"During the past 30 days
MARJVAPE,"…vaporize it (for example
MAXDRNKS,"During the past 30 days
MAXVO21_,Estimated Age-Gender Specific Maximum Oxygen Consumption
MEDADVIC,How difficult is it for you to get advice or information about health or medical topics if you need it?
MEDBILL1,Do you currently have any health care bills that are being paid off over time? (This could include medical bills being paid
MEDCOST,Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?
MEDICARE,Do you have Medicare? (Medicare is a coverage plan for people 65 or over and for certain disabled people.)
MEDSCOS1,"Not including over-the-counter (OTC) medications
MEDSCOST,Was there a time in the past 12 months when you did not take your medication as prescribed because of cost?
MEDSHEPB,Are you currently taking medicine to treat hepatitis B?
MENTCIGS,"Currently
MENTECIG,"Currently
MENTHLTH,"Now thinking about your mental health
METVL11_,Activity MET Value for First Activity
METVL21_,Activity MET Value for Second Activity
MOD2_3,About how often do you check your hemoglobin 'A one C'?
MRACASC1,"MRACORG1 with 77
MRACE1,Which one or more of the following would you say is the race of the child? (If 40 (Asian) or 50 (Pacific Islander) is
MRACORG1,"MRACE1 with 77
MSCODE,Metropolitan Status Code
NAMOTHR,Enter tribal affiliation when previous question response is 6 other
NAMTRIBE,What is your main tribe?
NATTMPTS,Number of Attempts
NOBCUSE6,What was your main reason for not doing anything the last time you had sex to keep you from getting pregnant?
NOBCUSE7,What was your main reason for not using a method to prevent pregnancy the last time you had sex with a man?
NOBCUSE8,What was your main reason for not doing anything to prevent pregnancy the last time you had sexual intercourse?
NOCOV121,In the PAST 12 MONTHS was there any time when you did NOT have ANY health insurance or coverage?
NRECSEL,Number of Sample Records Selected from Stratum
NRECSTR,Number of Telephone Numbers in Stratum from Which Sample Was Selected
NUMADULT,__ Number of adults
NUMBURN2,"In the past 12 months
NUMBURN3,"During the past 12 months
NUMHHOL2,Do you have more than one telephone number in your household? Do not include
NUMHHOL3,"Not including cell phones or numbers used for computers
NUMMEN,How many of these adults are women?
NUMPHON3,How many of these landline telephone numbers are residential numbers?
NUMWOMEN,"So
OH10_4,"Over the last 2 weeks
OH11_13,"During the past 30 days
OH1_1,"During the past 12 months
OH1_10,Have you used Naloxone (nal-ox-one) on someone else to reverse a suspected overdose?
OH1_2,About how long has it been since your most recent P.S.A. test?
OH1_3,About how long has it been since you last had health care coverage?
OH1_4,"Who first suggested that you should have a P.S.A. test – did you suggest it
OH1_5,Did your doctor or health care professional recommend that you have a P.S.A. test?
OH1_6,"The last time you used prescription pain medication not prescribed to you
OH1_7,Have you ever heard of this medication?
OH1_8,"Are you aware that in Ohio
OH1_9,Have you ever obtained Naloxone (nal-ox-one) to use if someone overdoses on
OH2_1,Has your child ever been prescribed an antibiotic?
OH2_2,What is the reason(s) you had your eyes examined this last time? (check all that apply)
OH2_3,"Have you ever stopped giving your child antibiotics once your child felt better
OH2_3a,(If 'Other' to OH2_3) What was the main reason you have not visited an eye care professional?
OH2_4,"Have you ever stored your child’s unused antibiotics for a potential
OH2_5,Have you ever shared your child’s unused antibiotics with someone else (such as a
OH2_6,Have you ever received a 'watchful waiting' recommendation from a healthcare provider for your child?
OH2_7,"If your healthcare provider gave you a watchful waiting recommendation
OH2_8,How likely would you be to follow the watchful waiting recommendation?
OH2_9,"Did your child's school provide any accommodations for your child's recovery
OH3_1,"During the past 30 days
OH3_2,"During the past 30 days
OH3_5,"If you received a watchful waiting recommendation
OH3_7,Do you believe antibiotics can treat viral infections like the cold or flu?
OH3_8,Where do you get most of your information about antibiotics?
OH4_1,"In the past 12 months
OH4_10,"To your knowledge
OH4_11,How old were you the first time you had a dazed or confused feeling or a gap in your memory?
OH4_2,[Fill in “Did this fall (from OH4_1) cause an injury?”]. If only one fall from OH4_1
OH4_3,When did the most recent incident occur?
OH4_4,Did the most recent incident occur during practice or competition?
OH4_5,In what type of sport was the child playing?
OH4_6,"Was the child removed from play for the day by an adult
OH4_7,Are you aware of the Ohio law regarding concussions in youth sports?
OH4_8,Was the child checked out later by a health care professional?
OH4_9,Did the child receive written clearance to return to play?
OH5_1,"In the past year
OH5_10,Have you used Naloxone on someone else to reverse a suspected overdose?
OH5_2,"The last time you filled a prescription
OH5_3,Was there any medication leftover?
OH5_4,What did you do with the leftover medication?
OH5_5,"In the past year
OH5_6,How did you obtain the medication not prescribed to you?
OH5_7,"Naloxone
OH5_8,Have you ever used heroin?
OH5_9,"Have you ever used methadone
OH6_1,"Over the last 2 weeks
OH6_2,What is the main reason you have not visited an eye care professional in the past 12
OH6_3,Have you been eating poorly because of a decreased appetite?
OH6_4,Has food intake declined over the past 3 months due to chewing or swallowing difficulties?
OH6_5,Has a doctor ever told you that you had a depressive disorder?
OH7_1,"During the past 12 months
OH7_11,"If not knocked out
OH7_2,Of the times you’ve gone to the hospital emergency room for a dental problem in the past
OH7_3,"During the past 12 months
OH7_4,What kind of dental insurance do you have (private insurance or public insurance such as
OH7_5,"Has a doctor
OH7_6,Were you ever knocked out or did you lose consciousness from any of the injuries you reported above?
OH7_7,What was the LONGEST TIME you were knocked out or unconscious?
OH7_8,What was the longest time you were knocked out?
OH8_1,Did your parents get divorced or separated after you were born and before you were 18?
OH8_1t,(Intro/Screener) Have you ever been threatened with physical violence by an intimate partner?
OH8_2,"Did you live with anyone who was depressed
OH8_3,Did you live with anyone who was a problem drinker or alcoholic?
OH8_4,"In the past three months
OH8_5,"Did you live with anyone who served time or was sentenced to serve time in a prison
OH8_6,"In the past 12 months
OH8_7,"In the past 12 months
OH9_1,"How do other people usually classify you in this country? Would you say White
OH9_10a,"To help you quit: Did you use Nicotine replacement products (gum
OH9_10b,"To help you quit: Did you use Prescription medication (Chantix
OH9_10c,To help you quit: Did you use Counseling or classes?
OH9_10d,To help you quit: Did you use E-cigarettes or vaping products?
OH9_10e,To help you quit: Did you quit Cold turkey / Just stopped?
OH9_10f,"To help you quit: Did you use Traditional methods (acupuncture
OH9_10g,To help you quit: Did you use a Quitline or telephone support?
OH9_11,"During the past 12 months
OH9_12,"During the past 12 months
OH9_13,"During the past 12 months
OH9_15,"During the past 30 days
OH9_18,Do you think that breathing vapor from other people's e-cigarettes is harmful to one's health?
OH9_2,How often do you think about your race?
OH9_23,How would you rate your approval of the Ohio law raising the tobacco age to 21?
OH9_24,E-cigarettes should be treated the same as regular cigarettes in terms of laws. Do you agree?
OH9_31,Have you ever used a heated tobacco product?
OH9_32,"Do you now use heated tobacco products every day
OH9_33,"Have you ever used nicotine pouches (e.g. Zyn
OH9_34,"Do you now use nicotine pouches every day
OH9_35,Have you ever used synthetic nicotine products?
OH9_36,Do you now use synthetic nicotine products?
OH9_37,"During the past 30 days
OH9_39,"Do you think e-cigarettes are less harmful
OH9_4,How soon after you wake up do you smoke your first cigarette?
OH9_40,"If you wanted to quit smoking
OH9_41,Has your doctor ever discussed the risks of tobacco use with you?
OH9_42,Has your doctor ever discussed the risks of secondhand smoke with you?
OH9_43,Do you allow smoking in your car?
OH9_44,"In the past 7 days
OH9_5,Do you mostly smoke menthol or non-menthol cigarettes?
OH9_6,Which brand of cigarettes do you smoke most often?
OH9_7,Have you experienced a change in your physical or mental health status as a result of the COVID-19 pandemic?
OH9_8,Where do you obtain the marijuana you vape?
ORACE3,Which one of these groups would you say best represents your race? (If 40 (Asian) or 50 (Pacific Islander) is
ORGSEQNO,Original State and Original Sequence Number
OTH_Tob_1,"Do you currently use other tobacco products every day
OTH_Tob_2,"Do you smoke cigars every day
OTH_Tob_3,"Do you now smoke little cigars or cigarillos
OTH_Tob_4,"Do you now smoke a water pipe or hookah every day
OTH_Tob_5,"Do you now use any flavored e-cigarette or tobacco products every day
OTH_Tob_7,Do you usually buy your own e-cigarettes or vaping products?
OTH_Tob_8,Where do you buy your e-cigarettes or vaping products?
O_STATE,Original state that collected the cell phone data
PA1MIN_,Minutes of total Vigorous Physical Activity per week
PADUR1_,Minutes of First Activity
PADUR2_,Minutes of Second Activity
PAFREQ1_,Physical Activity Frequency per Week for Second Activity
PAMISS1_,Missing Physical Activity Data
PAVIG11_,Minutes of Vigorous Physical Activity per week for First Activity
PCDMDEC1,Who made the decision with you?
PCDMDECN,Who made the decision with you? (Mark all that apply)
PCPSADE1,Which of the following best describes the decision to have the P.S.A. test done?
PCPSADI1,"Has a doctor
PCPSARE1,"Has a doctor
PCPSARS1,"What was the main reason you had this P.S.A. test – was it for a routine test
PCSTALK2,"When you met with a doctor
PDIABTS1,"When was the last time you had a blood test for high blood sugar or diabetes by a doctor
PDIABTST,Have you had a test for high blood sugar or diabetes within the past three years?
PERSDOC2,Do you have one person you think of as your personal doctor or health care provider? (If ´No´ ask ´Is there more
PERSDOC3,Do you have one person (or a group of doctors) that you think of as your personal health care provider?
PFPPRVN1,Did you or your partner do anything the last time you had sex to keep you from getting pregnant?
PFPPRVN3,"The last time you had sex with a man
PFPPRVN4,"The last time you had sexual intercourse
PHYSHLTH,"Now thinking about your physical health
PNEUVAC3,A pneumonia shot or pneumococcal vaccine is usually given only once or twice in a
PNEUVAC4,Have you ever had a pneumonia shot also known as a pneumococcal vaccine?
POORHLTH,"During the past 30 days
POTADA1_,Potato servings per day
POTATOE1,"How often did you eat any other kind of potatoes
PRECALL,Pre-Call Status Code
PREDIAB1,Have you ever been told by a doctor or other health professional that you have pre‐diabetes or borderline diabetes?
PREG4549,"To your knowledge
PREGNANT,"To your knowledge 
PRIMINS1,What is the current source of your primary health insurance?
PRIMINSR,What is the current primary source of your health insurance?
PRIRHEPC,Were you treated for Hepatitis C prior to 2015?
PROFEXAM,"A clinical breast exam is when a doctor
PSASUGS1,"Who first suggested (a or this) P.S.A. test: you
PSASUGST,"Who first suggested this PSA test: you
PSATEST1,Have you ever had a P.S.A. test?
PSATIME,How long has it been since you had your last H.P.V. test?
PSATIME1,About how long has it been since your most recent P.S.A. test?
