column_name,description
CHCSCNC1,(Ever told) (you had) skin cancer that is not melanoma?
CHCOCNC1,(Ever told) (you had) melanoma or any other types of cancer?
CHCCOPD3,"(Ever told) (you had) C.O.P.D. (chronic obstructive pulmonary disease), emphysema or chronic bronchitis?"
ADDEPEV3,"(Ever told) (you had) a depressive disorder (including depression, major depression, dysthymia, or minor depression)?"
CHCKDNY2,"Not including kidney stones, bladder infection or incontinence, were you ever told you had kidney disease?"
HAVARTH4,"(Ever told) (you had) some form of arthritis, rheumatoid arthritis, gout, lupus, or fibromyalgia? (Arthritis diagnoses include:"
DIABETE4,"(Ever told) (you had) diabetes? (If ´Yes´ and respondent is female, ask ´Was this only when you were pregnant?´."
DIABAGE4,Description not found
AGE,What is your age?
HISPANC3,"Are you Hispanic, Latino/a, or Spanish origin? (One or more categories may be selected.)"
MRACE1,Which one or more of the following would you say is your race?
MARITAL,Are you: (marital status)
EDUCA,What is the highest grade or year of school you completed?
RENTHOM1,Do you own or rent your home?
CTYCODE2,In what county do you currently live?
ZIPCODE1,What is the ZIP Code where you currently live?
NUMHHOL4,"Not including cell phones or numbers used for computers, fax machines or security systems, do you have more"
NUMPHON4,How many of these landline telephone numbers are residential numbers?
CPDEMO1C,How many cell phones do you have for your personal use? (Last question needed for partial complete.)
VETERAN3,"Have you ever served on active duty in the United States Armed Forces, either in the regular military or in a"
EMPLOY1,Are you currently…?
CHILDREN,How many children less than 18 years of age live in your household?
INCOME3,"Is your annual household income from all sources: (If respondent refuses at any income level, code ´Refused.´)"
PREGNANT,"To your knowledge, are you now pregnant?"
WEIGHT2,"About how much do you weigh without shoes? (If respondent answers in metrics, put a 9 in the first column)"
HEIGHT3,"About how tall are you without shoes? (If respondent answers in metrics, put a 9 in the first column)[Round fractions down.]"
DEAF,Are you deaf or do you have serious difficulty hearing?
BLIND,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?"
DECIDE,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating,"
DIFFWALK,Do you have serious difficulty walking or climbing stairs?
DIFFDRES,Do you have difficulty dressing or bathing?
DIFFALON,"Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor"
FALL12MN,"In the past 12 months, how many times have you fallen?"
FALLINJ5,How many of these falls caused an injury that limited your regular activities for at least a day or caused you to go
SMOKE100,Have you smoked at least 100 cigarettes in your entire life? [Note: 5 packs = 100 cigarettes]
SMOKDAY2,"Do you now smoke cigarettes every day, some days, or not at all?"
USENOW3,"Do you currently use chewing tobacco, snuff, or snus every day, some days, or not at all? (Snus (Swedish for"
ECIGNOW2,Would you say you have never used e-cigarettes or other electronic vaping products in your entire life or now
ALCDAY4,"During the past 30 days, how many days per week or per month did you have at least one drink of any alcoholic"
AVEDRNK3,"One drink is equivalent to a 12-ounce beer, a 5-ounce glass of wine, or a drink with one shot of liquor. During the past 30"
DRNK3GE5,"Considering all types of alcoholic beverages, how many times during the past 30 days did you have 5 or more"
MAXDRNKS,"During the past 30 days, what is the largest number of drinks you had on any occasion?"
FLUSHOT7,"During the past 12 months, have you had either flu vaccine that was sprayed in your nose or flu shot injected into your arm?"
FLSHTMY3,During what month and year did you receive your most recent flu vaccine that was sprayed in your nose or flu
PNEUVAC4,Have you ever had a pneumonia shot also known as a pneumococcal vaccine?
SHINGLE2,Have you ever had the shingles or zoster vaccine?
HIVTST7,"Including fluid testing from your mouth, but not including tests you may have had for blood donation, have you"
HIVTSTD3,"Not including blood donations, in what month and year was your last H.I.V. test? (If response is before January"
SEATBELT,How often do you use seat belts when you drive or ride in a car? Would you say—
DRNKDRI2,"During the past 30 days, how many times have you driven when you’ve had perhaps too much to drink?"
COVIDPO1,"Have you ever tested positive for COVID-19 (using a rapid point-of-care test, self-test, or laboratory test) or been"
COVIDSM1,Do you currently have symptoms lasting 3 months or longer that you did not have prior to having coronavirus or
COVIDACT,Do these long-term symptoms reduce your ability to carry out day-to-day activities compared with the time
PDIABTS1,"When was the last time you had a blood test for high blood sugar or diabetes by a doctor, nurse, or other health professional?"
PREDIAB2,Has a doctor or other health professional ever told you that you had prediabetes or borderline diabetes? (If
DIABTYPE,"According to your doctor or other health professional, what type of diabetes do you have?"
INSULIN1,Are you now taking insulin?
CHKHEMO3,"About how many times in the past 12 months has a doctor, nurse, or other health professional checked you for A-one-C?"
EYEEXAM1,"When was the last time you had an eye exam in which the pupils were dilated, making you temporarily sensitive"
DIABEYE1,"When was the last time a doctor, nurse or other health professional took a photo of the back of your eye with a"
DIABEDU1,When was the last time you took a course or class in how to manage your diabetes yourself?
FEETSORE,Have you ever had any sores or irritations on your feet that took more than four weeks to heal?
ARTHEXER,Has a doctor or other health professional ever suggested physical activity or exercise to help your arthritis or joint
ARTHEDU,Have you ever taken an educational course or class to teach you how to manage problems related to your
LMTJOIN3,Are you now limited in any way in any of your usual activities because of arthritis or joint symptoms?
ARTHDIS2,"Do arthritis or joint symptoms now affect whether you work, the type of work you do or the amount of work you do?"
JOINPAI2,"During the past 30 days, how bad was your joint pain on average on a scale of 0 to 10 where 0 is no pain and 10"
LCSFIRST,How old were you when you first started to smoke cigarettes regularly
LCSLAST,How old were you when you last smoked cigarettes regularly?
LCSNUMCG,"On average, when you smoke/smoked regularly, about how many cigarettes do/did you usually smoke each day?"
LCSCTSC1,Have you ever had a CT or CAT scan of your chest area?
LCSSCNCR,Were any of the CT or CAT scans of your chest area done mainly to check or screen for lung cancer?
LCSCTWHN,When did you have your most recent CT or CAT scan of your chest area mainly to check or screen for lung cancer?
HADMAM,Have you ever had a mammogram?
HOWLONG,How long has it been since you had your last mammogram?
CERVSCRN,Have you ever had a cervical cancer screening test?
CRVCLCNC,How long has it been since you had your last cervical cancer screening test?
CRVCLPAP,"At your most recent cervical cancer screening, did you have a Pap test?"
CRVCLHPV,"At your most recent cervical cancer screening, did you have an H.P.V. test?"
HADHYST2,Have you had a hysterectomy? (A hysterectomy is an operation to remove the uterus (womb).)
PSATEST1,Have you ever had a P.S.A. test?
PSATIME1,About how long has it been since your most recent P.S.A. test?
PCPSARS2,What was the main reason you had this P.S.A. test – was it …?
PSASUGS1,"Who first suggested (a or this) P.S.A. test: you, your doctor, or someone else?"
PCSTALK2,"When you met with a doctor, nurse, or other health professional, did they ever talk about the advantages, the"
HADSIGM4,Colonoscopy and sigmoidoscopy are exams to check for colon cancer. Have you ever had either of these exams?
COLNSIGM,"Have you had a colonoscopy, a sigmoidoscopy, or both?"
COLNTES1,How long has it been since your most recent colonoscopy?
SIGMTES1,How long has it been since your most recent sigmoidoscopy?
LASTSIG4,How long has it been since your most recent colonoscopy or sigmoidoscopy?
COLNCNCR,"Have you ever had any other kind of test for colorectal cancer, such as virtual colonoscopy, CT colonography,"
VIRCOLO1,A virtual colonoscopy uses a series of X-rays to take pictures of inside the colon. Have you ever had a virtual colonoscopy?
VCLNTES2,When was your most recent CT colonography or virtual colonoscopy?
SMALSTOL,One stool test uses a special kit to obtain a small amount of stool at home and returns the kit to the doctor or
STOLTEST,How long has it been since you had this test?
STOOLDN2,Another stool test uses a special kit to obtain an entire bowel movement at home and returns the kit to a lab.
BLDSTFIT,Was the blood stool or FIT (you reported earlier) conducted as part of a Cologuard test?
SDNATES1,How long has it been since you had this test?
CNCRDIFF,How many different types of cancer have you had?
CNCRAGE,"At what age were you told that you had cancer? (If Response = 2 (Two) or 3 (Three or more), ask: “At what age"
CNCRTYP2,What kind of cancer is it?
CSRVTRT3,Are you currently receiving treatment for cancer?
CSRVDOC1,What type of doctor provides the majority of your health care? Is it a….
CSRVSUM,"Did any doctor, nurse, or other health professional ever give you a written summary of all the cancer treatments"
CSRVRTRN,"Have you ever received instructions from a doctor, nurse, or other health professional about where you should"
CSRVINST,Were these instructions written down or printed on paper for you?
CSRVINSR,"With your most recent diagnosis of cancer, did you have health insurance that paid for all or part of your cancer"
CSRVDEIN,Were you ever denied health insurance or life insurance coverage because of your cancer?
CSRVCLIN,Did you participate in a clinical trial as part of your cancer treatment?
CSRVPAIN,Do you currently have physical pain caused by your cancer or cancer treatment?
CSRVCTL2,Would you say your pain is currently under control…?
INDORTAN,"Not including spray-on tans, during the past 12 months, how many times have you used an indoor tanning"
NUMBURN3,"During the past 12 months, how many times have you had a sunburn?"
SUNPRTCT,"When you go outside on a warm sunny day for more than one hour, how often do you protect yourself from the"
WKDAYOUT,"On weekdays, in the summer, how long are you outside per day between 10am and 4pm?"
WKENDOUT,"On weekends in the summer, how long are you outside each day between 10am and 4pm?"
CIMEMLO1,"During the past 12 months, have you experienced difficulties with thinking or memory that are happening more"
CDWORRY,Are you worried about these difficulties with thinking or memory?
CDDISCU1,Have you or anyone else discussed your difficulties with thinking or memory with a health care provider?
CDHOUS1,"During the past 12 months, have your difficulties with thinking or memory interfered with day-to-day activities,"
CDSOCIA1,"During the past 12 months, have your difficulties with thinking or memory interfered with your ability to work or volunteer?"
CAREGIV1,"During the past 30 days, did you provide regular care or assistance to a friend or family member who has a"
CRGVREL4,What is his or her relationship to you?
CRGVLNG1,For how long have you provided care for that person?
CRGVHRS1,"In an average week, how many hours do you provide care or assistance?"
CRGVPRB3,"What is the main health problem, long-term illness, or disability that the person you care for has?"
CRGVALZD,"Does the person you care for also have Alzheimer´s disease, dementia or other cognitive impairment disorder?"
CRGVPER1,"In the past 30 days, did you provide care for this person by managing personal care such as giving medications,"
CRGVHOU1,"In the past 30 days, did you provide care for this person by managing household tasks such as cleaning,"
CRGVEXPT,"In the next 2 years, do you expect to provide care or assistance to a friend or family member who has a health"
LASTSMK2,"How long has it been since you last smoked a cigarette, even one or two puffs?"
STOPSMK2,"During the past 12 months, have you stopped smoking for one day or longer because you were trying to quit smoking?"
MENTCIGS,"Currently, when you smoke cigarettes, do you usually smoke menthol cigarettes?"
MENTECIG,"Currently, when you use e-cigarettes, do you usually use menthol e-cigarettes?"
HEATTBCO,"Before today, have you heard of heated tobacco products?"
FIREARM5,Are any firearms now kept in or around your home?
GUNLOAD,Are any of these firearms now loaded?
LOADULK2,Are any of these loaded firearms also unlocked?
TYPEWORK,"What kind of work do you do? [(for example, registered nurse, janitor, cashier, auto mechanic)]"
TYPEINDS,"What kind of business or industry do you work in? [(for example, hospital, elementary school, clothing"
HASYMP1,"(Do you think) pain or discomfort in the jaw, neck, or back (are symptoms of a heart attack)?"
HASYMP2,"(Do you think) feeling weak, lightheaded, or faint (are symptoms of a heart attack)?"
HASYMP3,(Do you think) chest pain or discomfort (are symptoms of a heart attack)?
HASYMP4,(Do you think) sudden trouble seeing in one or both eyes (are symptoms of a heart attack)?
HASYMP5,(Do you think) pain or discomfort in the arms or shoulder (are symptoms of a heart attack)?
HASYMP6,(Do you think) shortness of breath (is a symptom of a heart attack)?
STRSYMP1,(Do you think) sudden confusion or trouble speaking (are symptoms of a stroke?)
STRSYMP2,"(Do you think) sudden numbness or weakness of face, arm, or leg, especially on one side (are symptoms of a stroke?)"
STRSYMP3,(Do you think) sudden trouble seeing in one or both eyes (is a symptom of a stroke?)
STRSYMP4,(Do you think) sudden chest pain or discomfort (are symptoms of a stroke?)
STRSYMP5,"(Do you think) sudden trouble walking, dizziness, or loss of balance (are symptoms of a stroke?)"
STRSYMP6,(Do you think) severe headache with no known cause (is a symptom of a stroke?)
FIRSTAID,"If you thought someone was having a heart attack or a stroke, what is the first thing you would do?"
ASPIRIN,"How often do you take an aspirin to prevent or control heart disease, heart attacks or stroke? Would you say…."
BIRTHSEX,What was your sex at birth? Was it male or female?
SOMALE,Which of the following best represents how you think of yourself?
SOFEMALE,Which of the following best represents how you think of yourself?
TRNSGNDR,"Do you consider yourself to be transgender? (If yes, ask “Do you consider yourself to be male-to-female, female-to-"
MARIJAN1,"During the past 30 days, on how many days did you use marijuana or cannabis?"
MARJSMOK,"During the past 30 days, did you smoke it (for example, in a joint, bong, pipe, or blunt)?"
MARJEAT,"Did you eat it or drink it (for example, in brownies, cakes, cookies, or candy, or in tea, cola, or alcohol)?"
MARJVAPE,"Did you vaporize it (for example, in an e-cigarette-like vaporizer or another vaporizing device)"
MARJDAB,"Did you dab it (for example, using a dabbing rig, knife, or dab pen)?"
MARJOTHR,Did you use it in some other way?
USEMRJN4,Description not found
ACEDEPRS,"Did you live with anyone who was depressed, mentally ill, or suicidal?"
ACEDRINK,Did you live with anyone who was a problem drinker or alcoholic?
ACEDRUGS,Did you live with anyone who used illegal street drugs or who abused prescription medications?
ACEPRISN,"Did you live with anyone who served time or was sentenced to serve time in a prison, jail, or other correctional facility?"
ACEDIVRC,Were your parents separated or divorced?
ACEPUNCH,"How often did your parents or adults in your home ever slap, hit, kick, punch or beat each other up?"
ACEHURT1,"Not including spanking, (before age 18), how often did a parent or adult in your home ever hit, beat, kick, or"
ACESWEAR,"How often did a parent or adult in your home ever swear at you, insult you, or put you down?"
ACETOUCH,"How often did anyone at least 5 years older than you or an adult, ever touch you sexually?"
ACETTHEM,"How often did anyone at least 5 years older than you or an adult, try to make you touch them sexually?"
ACEHVSEX,"How often did anyone at least 5 years older than you or an adult, force you to have sex?"
ACEADSAF,For how much of your childhood was there an adult in your household who made you feel safe and protected?
ACEADNED,For how much of your childhood was there an adult in your household who tried hard to make sure your basic
IMFVPLA4,At what kind of place did you get your last flu shot or vaccine?
HPVADVC4,Have you ever had an H.P.V. vaccination?
HPVADSHT,How many HPV shots did you receive?
TETANUS1,"Have you received a tetanus shot in the past 10 years? (If yes, ask: “Was this Tdap, the tetanus shot that also has"
COVIDVA1,Have you received at least one dose of a COVID-19 vaccination?
COVACGE1,"Would you say you will definitely get a vaccine, will probably get a vaccine, will probably not get a vaccine, will"
COVIDNU2,How many COVID-19 vaccinations have you received?
LSATISFY,"In general, how satisfied are you with your life?"
EMTSUPRT,How often do you get the social and emotional support you need?
SDLONELY,How often do you feel lonely? Is it…
SDHEMPLY,In the past 12 months have you lost employment or had hours reduced?
FOODSTMP,"During the past 12 months, have you received food stamps, also called SNAP, the Supplemental Nutrition"
SDHFOOD1,"During the past 12 months how often did the food that you bought not last, and you didn’t have money to get"
SDHBILLS,"During the last 12 months, was there a time when you were not able to pay your mortgage, rent or utility bills?"
SDHUTILS,"During the last 12 months was there a time when an electric, gas, oil, or water company threatened to shut off services?"
SDHTRNSP,"During the past 12 months has a lack of reliable transportation kept you from medical appointments, meetings,"
SDHSTRE1,"Within the last 30 days, how often have you felt this kind of stress?"
RRCLASS3,"How do other people usually classify you in this country? Would you say White, Black or African American,"
RRCOGNT2,"How often do you think about your race? Would you say never, once a year, once a month, once a week, once a"
RRTREAT,"Within the past 12 months, do you feel that in general you were treated worse than, the same as, or better than"
RRATWRK2,"Within the past 12 months at work, do you feel you were treated worse than, the same as, or better than people"
RRHCARE4,"Within the past 12 months when seeking health care, do you feel your experiences were worse than, the same"
RRPHYSM2,"Within the past 30 days, have you experienced any physical symptoms, for example, a headache, an upset"
RCSBIRTH,What is the birth month and year of the “Xth” child?
RCSGEND1,Is the child a boy or a girl?
RCSXBRTH,What was the child´s sex on their original birth certificate?
RCHISLA1,"Is the child Hispanic, Latino/a, or Spanish origin?"
RCSRACE1,Which one or more of the following would you say is the race of the child? (If 40 (Asian) or 50 (Pacific Islander) is
RCSRLTN2,How are you related to the child?
CASTHDX2,"Has a doctor, nurse or other health professional EVER said that the child has asthma?"
CASTHNO2,Does the child still have asthma?
CALLBACK,We would like to call you again within the next 2 weeks to talk in more detail about (your/your child’s) experiences with
ADLTCHLD,Which household member was selected to be the focus of the callback.
ADHISPA,Adult Hispanic response
CHHISPA,Child Hispanic response
QSTVER,Questionnaire Version Identifier
QSTLANG,Language identifier
CATI_RN,Description not found
CATI_RG,Description not found
CATI_SR,Description not found
CPCOUNTY,Cell Phone County Name
STATEQUE,State Added Questions
OH1_1,"Have you recently lost weight without trying?"
OH1_2,"If yes, how much weight have you lost?"
OH1_3,"Have you been eating poorly because of a decreased appetite?"
OH1_4,"Has food intake declined over the past 3 months due to chewing or swallowing difficulties?"
OH2_1,"When was the last time you had your eyes examined by any doctor or eye care provider?"
OH2_2,"What is the reason(s) you had your eyes examined this last time?"
OH2_3,"What is the main reason you have not visited an eye care professional in the past 12 months?"
OH2_3a,"(If 'Other' to OH2_3) What was the main reason you have not visited an eye care professional?"
OH2_4,"Do you have any kind of health insurance coverage for eye care?"
OH3_1,"Has your child ever been prescribed antibiotics?"
OH3_2,"Have you ever asked a healthcare provider to prescribe an antibiotic for your child when your child was sick?"
OH3_3,"Have you ever shared your child's unused antibiotics with someone else?"
OH3_4,"Have you ever received a 'watchful waiting' recommendation from a healthcare provider for your child?"
OH3_5,"If you received a watchful waiting recommendation, what emotions would you feel?"
OH3_6,"How likely would you be to follow the watchful waiting recommendation?"
OH3_7,"Do you believe antibiotics can treat viral infections like the cold or flu?"
OH3_8,"Where do you get most of your information about antibiotics?"
OH4_1,"Has your Xth child ever played or participated in organized sports?"
OH4_2,"How many times has your child ever received an injury to the head that resulted in concussion symptoms?"
OH4_3,"When did the most recent incident occur?"
OH4_4,"Did the most recent incident occur during practice or competition?"
OH4_5,"In what type of sport was the child playing?"
OH4_6,"Was the child removed from play for the day by an adult?"
OH4_7,"Was the child immediately taken to an emergency room or urgent care center?"
OH4_8,"Was the child checked out later by a health care professional?"
OH4_9,"Did the child receive written clearance to return to play?"
OH4_10,"To your knowledge, does Ohio have a law regarding concussions in youth sports?"
OH5_1,"In the past year, did you use any pain medications that were prescribed to you?"
OH5_2,"The last time you filled a prescription, did you use it more frequently or in higher doses than directed?"
OH5_3,"Was there any medication leftover?"
OH5_4,"What did you do with the leftover medication?"
OH5_5,"In the past year, did you use prescription pain medication that was NOT prescribed to you?"
OH5_6,"How did you obtain the medication not prescribed to you?"
OH5_7,"What was the main reason you used prescription pain medications not prescribed to you?"
OH5_8,"Have you ever used heroin?"
OH5_9,"Have you ever used methadone, suboxone, or subutex to treat an addiction?"
OH5_10,"Have you used Naloxone on someone else to reverse a suspected overdose?"
OH6_1,"Over the last 2 weeks, how many days have you had little interest or pleasure in doing things?"
OH6_2,"Over the last 2 weeks, how many days have you felt down, depressed, or hopeless?"
OH6_3,"Over the last 2 weeks, how many days have you had trouble falling asleep or staying asleep?"
OH6_4,"Over the last 2 weeks, how many days have you felt tired or had little energy?"
OH6_5,"Has a doctor ever told you that you had a depressive disorder?"
OH7_1,"In your lifetime, have you ever been hospitalized or treated in an ER following an injury to your head or neck?"
OH7_2,"In your lifetime, have you ever been injured in a vehicular accident?"
OH7_3,"In your lifetime, have you ever been injured in a fall?"
OH7_4,"In your lifetime, have you ever been injured in a fight or assault?"
OH7_5,"In your lifetime, have you ever been near an explosion or blast?"
OH7_6,"Have you ever been injured playing sports or on a playground?"
OH7_7,"Were you ever knocked out or did you lose consciousness from any of these injuries?"
OH7_8,"What was the longest time you were knocked out?"
OH7_9,"How old were you the first time you were knocked out?"
OH7_10,"How many times in your life have you been knocked out?"
OH7_11,"If not knocked out, did you have a dazed/confused feeling or memory gap?"
OH8_1t,"(Intro/Screener) Have you ever been threatened with physical violence by an intimate partner?"
OH8_1,"Have you ever been threatened with physical violence by an intimate partner?"
OH8_2,"Have you ever been slapped, pushed, kicked, choked, or hit by an intimate partner?"
OH8_3,"Have you ever been forced to have sex by an intimate partner?"
OH8_4,"Are you afraid of your current partner?"
OH8_5,"In the past 12 months, have you been threatened with physical violence by an intimate partner?"
OH8_6,"In the past 12 months, have you been slapped, pushed, kicked, choked, or hit by an intimate partner?"
OH8_7,"In the past 12 months, have you been forced to have sex by an intimate partner?"
OH9_1,"About how old were you the first time you smoked part or all of a cigarette?"
OH9_2,"About how old were you when you first started smoking cigarettes fairly regularly?"
OH9_3,"On average, about how many cigarettes a day do you now smoke?"
OH9_4,"How soon after you wake up do you smoke your first cigarette?"
OH9_5,"Do you mostly smoke menthol or non-menthol cigarettes?"
OH9_6,"Which brand of cigarettes do you smoke most often?"
OH9_7,"In the past 30 days, on how many days did you vape marijuana?"
OH9_8,"Where do you obtain the marijuana you vape?"
OH9_9,"In the past 30 days, on how many days did you vape CBD oil?"
OH9_10a,"To help you quit: Did you use Nicotine replacement products (gum, patch, lozenge)?"
OH9_10b,"To help you quit: Did you use Prescription medication (Chantix, Zyban)?"
OH9_10c,"To help you quit: Did you use Counseling or classes?"
OH9_10d,"To help you quit: Did you use E-cigarettes or vaping products?"
OH9_10e,"To help you quit: Did you quit Cold turkey / Just stopped?"
OH9_10f,"To help you quit: Did you use Traditional methods (acupuncture, hypnosis)?"
OH9_10g,"To help you quit: Did you use a Quitline or telephone support?"
OH9_11,"During the past 12 months, did any doctor, nurse, or health professional ask if you smoke?"
OH9_12,"During the past 12 months, did any doctor advise you to quit smoking?"
OH9_13,"During the past 12 months, did any doctor ask if you use e-cigarettes?"
OH9_14,"During the past 12 months, did any doctor advise you to quit using e-cigarettes?"
OH9_15,"During the past 30 days, have you seen or heard commercials about the benefits of quitting smoking?"
OH9_16,"Which statement best describes the rules about smoking inside your home?"
OH9_17,"Do you think breathing smoke from other people's cigarettes is harmful to one's health?"
OH9_18,"Do you think breathing vapor from other people's e-cigarettes is harmful to one's health?"
OH9_19,"How much do you favor or oppose banning the sale of all tobacco products in your community?"
OH9_20,"How much do you favor or oppose banning the sale of flavored tobacco products?"
OH9_21,"How much do you favor or oppose banning the sale of menthol cigarettes?"
OH9_22,"Tobacco use of any kind should not be allowed in outdoor public spaces. Do you agree?"
OH9_23,"How would you rate your approval of the Ohio law raising the tobacco age to 21?"
OH9_24,"E-cigarettes should be treated the same as regular cigarettes in terms of laws. Do you agree?"
OH9_25,"Stores that sell tobacco products should not be allowed near schools. Do you agree?"
OH9_26,"How likely would you be to ask a stranger to not smoke/vape around you?"
OH9_27,"How likely would you be to ask a friend/family member to not smoke/vape around you?"
OH9_28,"Do you believe you have a right to breathe clean air in public places?"
OH9_29,"Would you support a policy that prohibits smoking/vaping in multi-unit housing?"
OH9_30,"Would you favor or oppose a tax increase on tobacco products?"
OH9_31,"Have you ever used a heated tobacco product?"
OH9_32,"Do you now use heated tobacco products every day, some days, or not at all?"
OH9_33,"Have you ever used nicotine pouches (e.g. Zyn, On!, Velo)?"
OH9_34,"Do you now use nicotine pouches every day, some days, or not at all?"
OH9_35,"Have you ever used synthetic nicotine products?"
OH9_36,"Do you now use synthetic nicotine products?"
OH9_37,"During the past 30 days, did you see any ads about the dangers of tobacco?"
OH9_38,"During the past 30 days, did you see any ads about the Ohio Tobacco Quit Line?"
OH9_39,"Do you think e-cigarettes are less harmful, more harmful, or as harmful as regular cigarettes?"
OH9_40,"If you wanted to quit smoking, would you know where to go for help?"
OH9_41,"Has your doctor ever discussed the risks of tobacco use with you?"
OH9_42,"Has your doctor ever discussed the risks of secondhand smoke with you?"
OH9_43,"Do you allow smoking in your car?"
OH9_44,"In the past 7 days, were you exposed to secondhand smoke in a car?"
OH9_45,"In the past 7 days, were you exposed to secondhand smoke in a public place?"
OH9_46,"In the past 7 days, were you exposed to secondhand vapor in a public place?"
MOD1_1,"Have you had a test for high blood sugar or diabetes within the past three years?"
MOD1_2,"Have you ever been told by a doctor or other health professional that you have pre-diabetes or borderline diabetes?"
MOD2_1,"Are you now taking insulin?"
MOD2_2,"About how often do you check your blood for glucose or sugar?"
MOD2_3,"About how often do you check your hemoglobin 'A one C'?"
MOD2_4,"About how many times in the past 12 months have you seen a doctor, nurse, or other health professional for your diabetes?"
MOD2_5,"About how many times in the past 12 months has a doctor, nurse, or other health professional checked you for sores or irritation on your feet?"
MOD2_6,"When was the last time you had an eye exam in which the pupils were dilated?"
MOD2_7,"Has a doctor ever told you that diabetes has affected your eyes or that you had retinopathy?"
MOD14_1,"During the past 30 days, did you provide regular care or assistance to a friend or family member who has a health problem or disability?"
MOD14_2,"What is his or her relationship to you?"
MOD14_3,"For how long have you provided care for that person?"
MOD14_4,"In an average week, how many hours do you provide care or assistance?"
MOD14_5,"What is the main health problem, long-term illness, or disability that the person you care for has?"
MOD14_6,"In the past 30 days, did you provide care for this person by managing personal care such as giving medications, feeding, dressing, or bathing?"
MOD14_7,"In the past 30 days, did you provide care for this person by managing household tasks such as cleaning, managing money, or preparing meals?"
MOD14_8,"Of the following support services, which one do you MOST need, that you are not currently getting?"
MOD14_9,"In the next 2 years, do you expect to provide care or assistance to a friend or family member who has a health problem or disability?"
