column_name,column_type,description,possible_values
JOINPAI2,DOUBLE,"During the past 30 days, how bad was your joint pain on average on a scale of 0 to 10 where 0 is no pain and 10","{'0': '-', '77': 'Don’t know/Not', '99': 'Refused', 'BLANK': 'Missing'}"
AGE,DOUBLE,What is your age?,"{'7': 'Don’t know/Not', '9': 'Refused', '18': '-', '25': '-', '35': '-', '45': '-', '55': '-', '65': '-'}"
HISPANC3,BIGINT,"Are you Hispanic, Latino/a, or Spanish origin?","{'7': 'Don’t know/Not', '9': 'Refused', 'HIDDEN': 'Data not displayed'}"
MRACE1,DOUBLE,Which one or more of the following would you say is your race? (If 40 (Asian) or 50 (Pacific Islander) is selected,"{'77': 'Don’t know/Not', '99': 'Refused', 'HIDDEN': 'Data not displayed'}"
ORACE3,DOUBLE,Which one of these groups would you say best represents your race?,"{'10': 'White', '20': 'Black or African', '30': 'American Indian or', '41': 'Asian Indian', '42': 'Chinese', '45': 'Korean', '47': 'Other Asian', '60': 'Other', '77': 'Don´t know/Not', '99': 'Refused', 'BLANK': 'Not asked or'}"
MARITAL,DOUBLE,Are you…?,"{'1': 'Married', '2': 'Divorced', '3': 'Widowed', '4': 'Separated', '5': 'Never married', '6': 'A member of an', '9': 'Refused'}"
EDUCA,DOUBLE,What is the highest grade or year of school you completed?,"{'1': 'Never attended', '3': 'Grades', '4': 'Grade', '5': 'College', '6': 'College', '9': 'Refused'}"
RENTHOM1,DOUBLE,Do you own or rent your home?,"{'1': 'Own', '2': 'Rent', '3': 'Other arrangement', '7': 'Don’t know/Not', '9': 'Refused'}"
CTYCODE2,DOUBLE,In what county do you currently live?,"{'777': 'Don’t know/Not', '999': 'Refused', 'HIDDEN': 'Data not displayed'}"
ZIPCODE1,VARCHAR,What is the ZIP Code where you currently live?,"{'77777': 'Don’t know/Not', '99999': 'Refused', 'HIDDEN': 'Data not displayed'}"
NUMHHOL3,DOUBLE,"Not including cell phones or numbers used for computers, fax machines or security systems, do you have more","{'1': 'Yes', '2': 'No—Go to Section', '7': 'Don’t know/Not', '9': 'Refused—Go to', 'BLANK': 'Not asked or'}"
NUMPHON3,DOUBLE,How many of these telephone numbers are residential numbers?,"{'1': '-', '6': 'Residential', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
CPDEMO1B,DOUBLE,How many cell phones do you have for personal use?,"{'1': '-', '6': 'Six or more', '7': 'Don’t know/Not', '8': 'None', '9': 'Refused', 'BLANK': 'Not asked or'}"
VETERAN3,DOUBLE,"Have you ever served on active duty in the United States Armed Forces, either in","{'1': 'Yes', '2': 'No', '9': 'Refused', 'BLANK': 'Not asked or'}"
EMPLOY1,DOUBLE,Are you currently…?,"{'1': 'Employed for wages', '2': 'Self-employed', '3': 'Out of work for', '4': 'Out of work for', '5': 'A homemaker', '6': 'A student', '7': 'Retired', '8': 'Unable to work', '9': 'Refused', 'BLANK': 'Not asked or'}"
CHILDREN,DOUBLE,How many children less than 18 years of age live in your household?,"{'1': '-', '88': 'None', '99': 'Refused', 'BLANK': 'Not asked or'}"
INCOME2,DOUBLE,Is your annual household income from all sources—,"{'1': 'Less than $10,000', '2': 'Less than $15,000', '3': 'Less than $20,000', '4': 'Less than $25,000', '5': 'Less than $35,000', '6': 'Less than $50,000', '7': 'Less than $75,000', '8': '$75,000 or more', '77': 'Don’t know/Not', '99': 'Refused', 'BLANK': 'Not asked or'}"
WEIGHT2,DOUBLE,About how much do you weigh without shoes?,"{'50': '-', '7777': 'Don’t know/Not', '9000': '-', '9999': 'Refused', 'BLANK': 'Not asked or'}"
HEIGHT3,DOUBLE,About how tall are you without shoes?,"{'200': '-', '7777': 'Don’t know/Not', '9999': 'Refused', 'BLANK': 'Not asked or'}"
PREGNANT,DOUBLE,"To your knowledge, are you now pregnant?","{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
DEAF,DOUBLE,Are you deaf or do you have serious difficulty hearing?,"{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
BLIND,DOUBLE,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?","{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
DECIDE,DOUBLE,"Because of a physical, mental, or emotional condition, do you have serious difficulty","{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
DIFFWALK,DOUBLE,Do you have serious difficulty walking or climbing stairs?,"{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
DIFFDRES,DOUBLE,Do you have difficulty dressing or bathing?,"{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
DIFFALON,DOUBLE,"Because of a physical, mental, or emotional condition, do you have difficulty doing","{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
SMOKE100,DOUBLE,Have you smoked at least 100 cigarettes in your entire life?,"{'1': 'Yes', '2': 'No—Go to Section', '7': 'Don’t know/Not', '9': 'Refused—Go to', 'BLANK': 'Not asked or'}"
SMOKDAY2,DOUBLE,"Do you now smoke cigarettes every day, some days, or not at all?","{'1': 'Every day', '2': 'Some days', '3': 'Not at all—Go to', '7': 'Don´t Know/Not', '9': 'Refused—Go to', 'BLANK': 'Not asked or'}"
STOPSMK2,DOUBLE,"During the past 12 months, have you stopped smoking for one day or longer because","{'1': 'Yes—Go to Section', '2': 'No—Go to Section', '7': 'Don’t know/Not', 'BLANK': 'Not asked or'}"
LASTSMK2,DOUBLE,"How long has it been since you last smoked a cigarette, even one or two puffs?","{'1': 'Within the past', '2': 'Within the past', '3': 'Within the past', '4': 'Within the past', '5': 'Within the past', '6': 'Within the past', '7': '10 years or more', '8': 'Never smoked', '77': 'Don’t know/Not', '99': 'Refused', 'BLANK': 'Not asked or'}"
USENOW3,DOUBLE,"Do you currently use chewing tobacco, snuff, or snus every day, some days, or not at all?","{'1': 'Every day', '2': 'Some days', '3': 'Not at all', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
ALCDAY5,DOUBLE,"During the past 30 days, how many days per week or per month did you have at least","{'101': '-', '201': '-', '777': 'Don’t know/Not', '888': 'No drinks in past', '999': 'Refused—Go to', 'BLANK': 'Not asked or'}"
AVEDRNK3,DOUBLE,"One drink is equivalent to a 12-ounce beer, a 5-ounce glass of wine, or a drink with one shot of liquor. During the past 30","{'1': '-', '77': 'Don’t know/Not', '99': 'Refused', 'BLANK': 'Not asked or'}"
DRNK3GE5,DOUBLE,"Considering all types of alcoholic beverages, how many times during the past 30 days did","{'1': '-', '88': 'None', '77': 'Don’t know/Not', '99': 'Refused', 'BLANK': 'Not asked or'}"
MAXDRNKS,DOUBLE,"During the past 30 days, what is the largest number of drinks you had on any occasion?","{'1': '-', '77': 'Don’t know/Not', '99': 'Refused', 'BLANK': 'Not asked or'}"
EXERANY2,DOUBLE,"During the past month, other than your regular job, did you participate in any physical activities or exercises such","{'1': 'Yes', '2': 'No—Go to Section', '7': 'Don’t know/Not', '9': 'Refused—Go to', 'BLANK': 'Not asked or'}"
EXRACT11,DOUBLE,What type of physical activity or exercise did you spend the most time doing during the past month?,"{'1': 'Active Gaming', '2': 'Aerobics video or', '3': 'Backpacking', '5': 'Basketball', '6': 'Bicycling machine', '7': 'Bicycling', '8': 'Boating (Canoeing,', '9': 'Bowling', '10': 'Boxing', '11': 'Calisthenics', '12': 'Canoeing/rowing in', '13': 'Carpentry', '14': 'Dancing-ballet,', '15': 'Elliptical/EFX', '16': 'Fishing from river', '17': 'Frisbee', '18': 'Gardening', '19': 'Golf (with', '20': 'Golf (without', '22': 'Hiking – cross-', '23': 'Hockey', '24': 'Horseback riding', '25': 'Hunting large game', '26': 'Hunting small game', '28': 'Jogging', '29': 'Lacrosse', '31': 'Mowing lawn', '32': 'Paddleball', '33': 'Painting/papering', '34': 'Pilates', '35': 'Racquetball', '36': 'Raking lawn', '37': 'Running', '38': 'Rock Climbing', '40': 'Rowing machine', '41': 'Rugby', '43': 'Skateboarding', '48': 'Snow shoveling by', '49': 'Snow skiing', '51': 'Soccer', '52': 'Softball/Baseball', '53': 'Squash', '54': 'Stair climbing/', '56': 'Surfing', '57': 'Swimming', '58': 'Swimming in laps', '60': 'Tai Chi', '61': 'Tennis', '62': 'Touch football', '63': 'Volleyball', '64': 'Walking', '66': 'Waterskiing', '67': 'Weight lifting', '68': 'Wrestling', '69': 'Yoga', '71': 'Childcare', '72': 'Farm/Ranch Work', '73': 'Household', '74': 'Karate/Martial', '75': 'Upper Body Cycle', '76': 'Yard work', '98': 'Other______', '77': 'Don’t know/Not', '99': 'Refused—Go to', 'BLANK': 'Not asked or'}"
EXEROFT1,DOUBLE,How many times per week or per month did you take part in this activity during the past,"{'101': '-', '201': '-', '777': 'Don’t know/Not', '999': 'Refused', 'BLANK': 'Not asked or'}"
EXERHMM1,DOUBLE,"And when you took part in this activity, for how many minutes or hours did you usually","{'1': '-', '777': 'Don’t know/Not', '800': '-', '999': 'Refused', 'BLANK': 'Not asked or'}"
EXRACT21,DOUBLE,What other type of physical activity gave you the next most exercise during the past month?,"{'1': 'Active Gaming', '2': 'Aerobics video or', '4': 'Badminton', '5': 'Basketball', '6': 'Bicycling machine', '7': 'Bicycling', '8': 'Boating (Canoeing,', '9': 'Bowling', '10': 'Boxing', '11': 'Calisthenics', '12': 'Canoeing/rowing in', '13': 'Carpentry', '14': 'Dancing-ballet,', '15': 'Elliptical/EFX', '16': 'Fishing from river', '17': 'Frisbee', '18': 'Gardening', '19': 'Golf (with', '20': 'Golf (without', '21': 'Handball', '22': 'Hiking – cross-', '23': 'Hockey', '24': 'Horseback riding', '25': 'Hunting large game', '26': 'Hunting small game', '28': 'Jogging', '30': 'Mountain climbing', '31': 'Mowing lawn', '32': 'Paddleball', '33': 'Painting/papering', '34': 'Pilates', '35': 'Racquetball', '36': 'Raking lawn', '37': 'Running', '38': 'Rock Climbing', '39': 'Rope skipping', '40': 'Rowing machine', '44': 'Skating – ice or', '48': 'Snow shoveling by', '49': 'Snow skiing', '51': 'Soccer', '52': 'Softball/Baseball', '53': 'Squash', '54': 'Stair climbing/', '57': 'Swimming', '58': 'Swimming in laps', '59': 'Table tennis', '60': 'Tai Chi', '61': 'Tennis', '62': 'Touch football', '63': 'Volleyball', '64': 'Walking', '66': 'Waterskiing', '67': 'Weight lifting', '68': 'Wrestling', '69': 'Yoga', '71': 'Childcare', '72': 'Farm/Ranch Work', '73': 'Household', '74': 'Karate/Martial', '75': 'Upper Body Cycle', '76': 'Yard work', '88': 'No other activity—', '98': 'Other______', '77': 'Don’t know/Not', '99': 'Refused—Go to', 'BLANK': 'Not asked or'}"
EXEROFT2,DOUBLE,How many times per week or per month did you take part in this activity during the past,"{'101': '-', '201': '-', '777': 'Don’t know/Not', '999': 'Refused', 'BLANK': 'Not asked or'}"
EXERHMM2,DOUBLE,"And when you took part in this activity, for how many minutes or hours did you usually","{'1': '-', '777': 'Don’t know/Not', '800': '-', '999': 'Refused', 'BLANK': 'Not asked or'}"
STRENGTH,DOUBLE,"During the past month, how many times per week or per month did you do physical activities or exercises to","{'101': '-', '201': '-', '777': 'Don’t know / Not', '888': 'Never', '999': 'Refused', 'BLANK': 'Not asked or'}"
FRUIT2,DOUBLE,"Not including juices, how often did you eat fruit?","{'101': '-', '201': '-', '300': 'Less than once a', '301': '-', '555': 'Never', '777': 'Don’t know/Not', '999': 'Refused', 'BLANK': 'Not asked or'}"
FRUITJU2,DOUBLE,"Not including fruit-flavored drinks or fruit juices with added sugar, how often did you drink 100% fruit juice such","{'101': '-', '201': '-', '300': 'Less than once a', '301': '-', '555': 'Never', '777': 'Don’t know/Not', '999': 'Refused', 'BLANK': 'Not asked or'}"
FVGREEN1,DOUBLE,"How often did you eat a green leafy or lettuce salad, with or without other vegetables?","{'101': '-', '201': '-', '300': 'Less than once a', '301': '-', '555': 'Never', '777': 'Don’t know/Not', '999': 'Refused', 'BLANK': 'Not asked or'}"
FRENCHF1,DOUBLE,"How often did you eat any kind of fried potatoes, including french fries, home fries, or hash browns?","{'101': '-', '201': '-', '300': 'Less than once a', '301': '-', '555': 'Never', '777': 'Don’t know/Not', '999': 'Refused', 'BLANK': 'Not asked or'}"
POTATOE1,DOUBLE,"How often did you eat any other kind of potatoes, or sweet potatoes, such as baked, boiled, mashed potatoes, or potato salad?","{'101': '-', '201': '-', '300': 'Less than once a', '301': '-', '555': 'Never', '777': 'Don’t know/Not', '999': 'Refused', 'BLANK': 'Not asked or'}"
VEGETAB2,DOUBLE,"Not including lettuce salads and potatoes, how often did you eat other vegetables?","{'101': '-', '201': '-', '300': 'Less than once a', '301': '-', '555': 'Never', '777': 'Don’t know/Not', '999': 'Refused', 'BLANK': 'Not asked or'}"
FLUSHOT7,DOUBLE,"During the past 12 months, have you had either flu vaccine that was sprayed in your nose or flu shot injected into your arm?","{'1': 'Yes', '2': 'No—Go to Section', '7': 'Don’t know/Not', '9': 'Refused—Go to', 'BLANK': 'Not asked or'}"
FLSHTMY3,DOUBLE,During what month and year did you receive your most recent flu vaccine that was sprayed in your nose or flu,"{'12018': '-', '777777': 'Don’t know/Not', '999999': 'Refused', 'BLANK': 'Not asked or'}"
TETANUS1,DOUBLE,"Have you received a tetanus shot in the past 10 years? (If yes, ask: “Was this Tdap, the tetanus shot that also has","{'1': 'Yes, received Tdap', '2': 'Yes, received', '3': 'Yes, received', '4': 'No, did not', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
PNEUVAC4,DOUBLE,Have you ever had a pneumonia shot also known as a pneumococcal vaccine?,"{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
HIVTST7,DOUBLE,"Including fluid testing from your mouth, but not including tests you may have had for blood donation, have you","{'1': 'Yes', '2': 'No—Go to Section', '7': 'Don’t know/Not', '9': 'Refused—Go to', 'BLANK': 'Not asked or'}"
HIVTSTD3,DOUBLE,"Not including blood donations, in what month and year was your last HIV test?","{'11985': '-', '777777': 'Don’t know/Not', '999999': 'Refused', 'BLANK': 'Not asked or'}"
HIVRISK5,DOUBLE,"I am going to read you a list. When I am done, please tell me if any of the situations apply to you. You do not need to tell me","{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused'}"
PDIABTST,DOUBLE,Have you had a test for high blood sugar or diabetes within the past three years?,"{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
PREDIAB1,DOUBLE,Have you ever been told by a doctor or other health professional that you have pre-,"{'1': 'Yes', '2': 'Yes, during', '3': 'No', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
INSULIN1,DOUBLE,Are you now taking insulin?,"{'1': 'Yes', '2': 'No', '9': 'Refused', 'BLANK': 'Not asked or'}"
BLDSUGAR,DOUBLE,About how often do you check your blood for glucose or sugar? Please answer in times,"{'101': '-', '201': '-', '301': '-', '401': '-', '777': 'Don’t know/Not', '888': 'Never', '999': 'Refused', 'BLANK': 'Not asked or'}"
FEETCHK3,DOUBLE,"Including times when checked by a family member or friend, about how often do you check your feet for any","{'101': '-', '201': '-', '301': '-', '401': '-', '555': 'No feet', '777': 'Don’t know/Not', '888': 'Never', '999': 'Refused', 'BLANK': 'Not asked or'}"
DOCTDIAB,DOUBLE,"About how many times in the past 12 months have you seen a doctor, nurse, or other","{'1': '-', '88': 'None', '77': 'Don’t know/Not', '99': 'Refused', 'BLANK': 'Not asked or'}"
