column_name,description
DIABETE4,(Ever told) (you had) diabetes?
DIABAGE4,Description not found
AGE,What is your age?
HISPANC3,"Are you Hispanic, Latino/a, or Spanish origin? [One or more categories may be selected.]"
MRACE2,Which one or more of the following would you say is your race? (If 40 (Asian) or 50 (Pacific Islander) is selected
ORACE4,Which one of these groups would you say best represents your race? (If 40 (Asian) or 50 (Pacific Islander) is
MARITAL,Are you…
EDUCA,What is the highest grade or year of school you completed ?
RENTHOM1,Do you own or rent your home?
CTYCODE2,In what county do you currently live?
ZIPCODE1,What is the ZIP Code where you currently live?
NUMHHOL4,"Not including cell phones or numbers used for computers, fax machines or security systems, do you have more"
NUMPHON4,Description not found
CPDEMO1C,Description not found
VETERAN3,"Have you ever served on active duty in the United States Armed Forces, either in the regular military or in a"
EMPLOY1,Are you currently…?
CHILDREN,How many children less than 18 years of age live in your household?
INCOME3,"Is your annual household income from all sources: (If respondent refuses at any income level, code ´Refused.´)"
PREGNANT,"To your knowledge , are you now pregnant?"
WEIGHT2,About how much do you weigh without shoes?
HEIGHT3,About how tall are you without shoes?
DEAF,Are you deaf or do you have serious difficulty hearing?
BLIND,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?"
DECIDE,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating,"
DIFFWALK,Do you have serious difficulty walking or climbing stairs?
DIFFDRES,Do you have difficulty dressing or bathing?
DIFFALON,"Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor"
HADMAM,(The next questions are about breast and cervical cancer.) Have you ever had a mammogram?
HOWLONG,How long has it been since you had your last mammogram?
CERVSCRN,Have you ever had a cervical
CRVCLCNC,How long has it been since you had your last cervical cancer screening test?
CRVCLPAP,"At your most recent cervical cancer screening, did you have a Pap test?"
CRVCLHPV,"At your most recent cervical cancer screening, did you have an H.P.V. test?"
HADHYST2,Have you had a hysterectomy?
HADSIGM4,Colonoscopy and sigmoidoscopy are exams to check for colon cancer. Have you ever had either of these exams?
COLNSIGM,"Have you had a colonoscopy, a sigmoidoscopy, or both?"
COLNTES1,How long has it been since your most recent colonoscopy?
SIGMTES1,How long has it been since your most recent sigmoidoscopy?
LASTSIG4,How long has it been since your most recent colonoscopy or sigmoidoscopy?
COLNCNCR,"Have you ever had any other kind of test for colorectal cancer, such as virtual colonoscopy, CT colonography, blood stool test, FIT DNA, or Cologuard test?"
VIRCOLO1,A virtual colonoscopy uses a series of X-rays to take pictures of inside the colon. Have you ever had a virtual colonoscopy?
VCLNTES2,When was your most recent CT colonography or virtual colonoscopy?
SMALSTOL,One stool test uses a special kit to obtain a small amount of stool at home and returns the kit to the doctor or the lab. Have you
STOLTEST,How long has it been since you had this test?
STOOLDN2,Another stool test uses a special kit to obtain an entire bowel movement at home and returns the kit to a lab.
BLDSTFIT,Was the blood stool or FIT (you reported earlier) conducted as part of a Cologuard test?
SDNATES1,How long has it been since you had this test?
SMOKE100,Have you smoked at least 100 cigarettes in your entire life? [Note: 5 packs = 100 cigarettes]
SMOKDAY2,"Do you now smoke cigarettes every day, some days, or not at all?"
USENOW3,"Do you currently use chewing tobacco, snuff, or snus every day, some days, or not at all? (Snus (Swedish for"
ECIGNOW2,Would you say you have never used e-cigarettes or other electronic vaping products in your entire life or now
LCSFIRST,You’ve told us that you have smoked in the past or are currently smoking. The next questions are about screening for lung cancer. How old were you when you first started to smoke cigarettes regularly?
LCSLAST,How old were you when you last smoked cigarettes regularly?
LCSNUMCG,"On average, when you [smoke/ smoked] regularly, about how many cigarettes {do/did} you usually smoke each day?"
LCSCTSC1,Have you ever had a CT or CAT scan of your chest area?
LCSSCNCR,Were any of the CT or CAT scans of your chest area done mainly to check or screen for lung cancer?
LCSCTWHN,When did you have your most recent CT or CAT scan of your chest area mainly to check or screen for lung cancer?
ALCDAY4,"During the past 30 days, how many days per week or per month did you have at least one drink of any alcoholic beverage?"
AVEDRNK3,"One drink is equivalent to a 12-ounce beer, a 5-ounce glass of wine, or a drink with one shot of liquor. During the past 30"
DRNK3GE5,"Considering all types of alcoholic beverages, how many times during the past 30 days did you have 5 or more"
MAXDRNKS,"During the past 30 days, what is the largest number of drinks you had on any occasion?"
FLUSHOT7,"During the past 12 months, have you had either flu vaccine that was sprayed in your nose or flu shot injected into your arm?"
FLSHTMY3,During what month and year did you receive your most recent flu vaccine that was sprayed in your nose or flu
PNEUVAC4,Have you ever had a pneumonia shot also known as a pneumococcal vaccine?
TETANUS1,"Have you received a tetanus shot in the past 10 years? (If yes, ask: “Was this Tdap, the tetanus shot that also has"
HIVTST7,"Including fluid testing from your mouth, but not including tests you may have had for blood donation, have you ever been tested for H.I.V?"
HIVTSTD3,"Not including blood donations, in what month and year was your last H.I.V. test?"
HIVRISK5,"I am going to read you a list. When I am done, please tell me if any of the situations apply to you. You do not need to tell me"
COVIDPOS,"Has a doctor, nurse, or other health professional ever told you that you tested positive for COVID 19?"
COVIDSMP,Did you have any symptoms lasting 3 months or longer that you did not have prior to having coronavirus or COVID-19?
COVIDPRM,Which of the following was the primary symptom that you experienced? Was it….
PDIABTS1,"When was the last time you had a blood test for high blood sugar or diabetes by a doctor, nurse, or other health professional?"
PREDIAB2,Has a doctor or other health professional ever told you that you had prediabetes or borderline diabetes? (If
DIABTYPE,"According to your doctor or other health professional, what type of diabetes do you have?"
INSULIN1,Are you now taking insulin?
CHKHEMO3,"About how many times in the past 12 months has a doctor, nurse, or other health professional checked you for A-one-C?"
EYEEXAM1,"When was the last time you had an eye exam in which the pupils were dilated, making you temporarily sensitive to bright light?"
DIABEYE1,"When was the last time a doctor, nurse or other health professional took a photo of the back of your eye with a"
DIABEDU1,When was the last time you took a course or class in how to manage your diabetes yourself?
FEETSORE,Have you ever had any sores or irritations on your feet that took more than four weeks to heal?
TOLDCFS,Have you ever been told by a doctor or other health professional that you had Chronic Fatigue Syndrome (CFS)
HAVECFS,Do you still have Chronic Fatigue Syndrome (CFS) or (Myalgic Encephalomyelitis) ME?
WORKCFS,"Thinking about your CFS or ME, during the past 6 months, how many hours a week on average have you been"
IMFVPLA3,At what kind of place did you get your last flu shot or vaccine?
HPVADVC4,Have you ever had an H.P.V. vaccination?
HPVADSHT,How many HPV shots did you receive?
SHINGLE2,Have you ever had the shingles or zoster vaccine?
COVIDVA1,Have you received at least one dose of a COVID-19 vaccination?
COVIDNU1,How many COVID-19 vaccinations have you received?
COVIDFS1,During what month and year did you receive your (first) COVID-19 vaccination?
COVIDSE1,During what month and year did you receive your second COVID-19 vaccination?
COPDCOGH,"During the past 3 months, did you have a cough on most days?"
COPDFLEM,"During the past 3 months, did you cough up phlegm [FLEM] or mucus on most days?"
COPDBRTH,Do you have shortness of breath either when hurrying on level ground or when walking up a slight hill or stairs?
COPDBTST,Have you ever been given a breathing test to diagnose breathing problems?
COPDSMOK,"Over your lifetime, how many years have you smoked tobacco products?"
CNCRDIFF,You’ve told us that you have had cancer. I would like to ask you a few more questions about your cancer. How many different types of cancer have you had?
CNCRAGE,At what age were you told that you had cancer?
CNCRTYP2,What kind of cancer is it?
CSRVTRT3,Are you currently receiving treatment for cancer?
CSRVDOC1,What type of doctor provides the majority of your health care? Is it a….
CSRVSUM,"Did any doctor, nurse, or other health professional ever give you a written summary of all the cancer treatments that you received?"
CSRVRTRN,"Have you ever received instructions from a doctor, nurse, or other health professional about where you should"
CSRVINST,Were these instructions written down or printed on paper for you?
CSRVINSR,"With your most recent diagnosis of cancer, did you have health insurance that paid for all or part of your cancer"
CSRVDEIN,Were you ever denied health insurance or life insurance coverage because of your cancer?
CSRVCLIN,Did you participate in a clinical trial as part of your cancer treatment?
CSRVPAIN,Do you currently have physical pain caused by your cancer or cancer treatment?
CSRVCTL2,Would you say your pain is currently under control…?
PSATEST1,Have you ever had a P.S.A. test?
PSATIME1,About how long has it been since your most recent P.S.A. test?
PCPSARS2,What was the main reason you had this P.S.A. test – was it …?
PSASUGST,"Who first suggested this PSA test: you, your doctor, or someone else?"
PCSTALK1,"When you met with a doctor, nurse, or other health professional, did they talk about the advantages, the"
CIMEMLOS,"The next few questions ask about difficulties in thinking or remembering that can make a big difference in everyday activities. This does not refer to occasionally forgetting your keys or the name of someone you recently met, which is normal. This refers to confusion or memory loss that is happening more often or getting worse, such as forgetting how to do things you’ve always done or forgetting things that you would normally know. We want to know how these"
CDHOUSE,"During the past 12 months, as a result of confusion or memory loss, how often have you given up day-to-day"
CDASSIST,"As a result of confusion or memory loss, how often do you need assistance with these day-to-day activities?"
CDHELP,"When you need help with these day-to-day activities, how often are you able to get the help that you need?"
CDSOCIAL,"During the past 12 months, how often has confusion or memory loss interfered with your ability to work,"
CDDISCUS,Have you or anyone else discussed your confusion or memory loss with a health care professional?
CAREGIV1,"During the past 30 days, did you provide regular care or assistance to a friend or family member who has a"
CRGVREL4,What is his or her relationship to you?
CRGVLNG1,For how long have you provided care for that person?
CRGVHRS1,"In an average week, how many hours do you provide care or assistance?"
CRGVPRB3,"What is the main health problem, long- term illness, or disability that the person you care for has?"
CRGVALZD,"Does the person you care for also have Alzheimer´s disease, dementia or other cognitive impairment disorder?"
CRGVPER1,"In the past 30 days, did you provide care for this person by managing personal care such as giving medications,"
CRGVHOU1,"In the past 30 days, did you provide care for this person by managing household tasks such as cleaning,"
CRGVEXPT,"In the next 2 years, do you expect to provide care or assistance to a friend or family member who has a health"
ACEDEPRS,"Did you live with anyone who was depressed, mentally ill, or suicidal?"
ACEDRINK,Did you live with anyone who was a problem drinker or alcoholic?
ACEDRUGS,Did you live with anyone who used illegal street drugs or who abused prescription medications?
ACEPRISN,"Did you live with anyone who served time or was sentenced to serve time in a prison, jail, or other correctional facility?"
ACEDIVRC,Were your parents separated or divorced?
ACEPUNCH,"How often did your parents or adults in your home ever slap, hit, kick, punch or beat each other up? Was it…"
ACEHURT1,"Not including spanking, (before age 18), how often did a parent or adult in your home ever hit, beat, kick, or physically hurt you in any way? Was it—"
ACESWEAR,"How often did a parent or adult in your home ever swear at you, insult you, or put you down? Was it…"
ACETOUCH,"How often did anyone at least 5 years older than you or an adult, ever touch you sexually? Was it…"
ACETTHEM,"How often did anyone at least 5 years older than you or an adult, try to make you touch them sexually? Was it…"
ACEHVSEX,"How often did anyone at least 5 years older than you or an adult, force you to have sex? Was it…"
ACEADSAF,For how much of your childhood was there an adult in your household who made you feel safe and protected?
ACEADNED,For how much of your childhood was there an adult in your household who tried hard to make sure your basic
LSATISFY,"In general, how satisfied are you with your life?"
EMTSUPRT,How often do you get the social and emotional support you need?
SDHISOLT,How often do you feel socially isolated from others? Is it…
SDHEMPLY,In the past 12 months have you lost employment or had hours reduced?
FOODSTMP,"During the past 12 months, have you received food stamps, also called SNAP, the Supplemental Nutrition"
SDHFOOD1,"During the past 12 months how often did the food that you bought not last, and you didn’t have money to get"
SDHBILLS,"During the last 12 months, was there a time when you were not able to pay your mortgage, rent or utility bills?"
SDHUTILS,"During the last 12 months was there a time when an electric, gas, oil, or water company threatened to shut off services?"
SDHTRNSP,"During the past 12 months has a lack of reliable transportation kept you from medical appointments, meetings,"
SDHSTRE1,"Within the last 30 days, how often have you felt this kind of stress?"
MARIJAN1,"During the past 30 days, on how many days did you use marijuana or cannabis?"
MARJSMOK,"During the past 30 days, did you smoke it (for example, in a joint, bong, pipe, or blunt)?"
MARJEAT,"…eat it or drink it (for example, in brownies, cakes, cookies, or candy, or in tea, cola, or alcohol)?"
MARJVAPE,"…vaporize it (for example, in an e-cigarette-like vaporizer or another vaporizing device)"
MARJDAB,"…dab it (for example, using a dabbing rig, knife, or dab pen)?"
MARJOTHR,…use it in some other way?
USEMRJN4,Description not found
LASTSMK2,"How long has it been since you last smoked a cigarette, even one or two puffs?"
STOPSMK2,"During the past 12 months, have you stopped smoking for one day or longer because you were trying to quit smoking?"
MENTCIGS,"Currently, when you smoke cigarettes, do you usually smoke menthol cigarettes?"
MENTECIG,"Currently, when you use e-cigarettes, do you usually use menthol e-cigarettes?"
HEATTBCO,"Before today, have you heard of heated tobacco products?"
ASBIALCH,You told me earlier that your last routine checkup was [within the past year/within the past 2 years]. At that
ASBIDRNK,Did the health care provider ask you in person or on a form how much you drink?
ASBIBING,Did the healthcare provider specifically ask whether you drank [5 FOR MEN /4 FOR WOMEN] or more alcoholic
ASBIADVC,Were you offered advice about what level of drinking is harmful or risky for your health?
ASBIRDUC,"At your last routine checkup, were you advised to reduce or quit your drinking?"
FIREARM5,Are any firearms now kept in or around your home?
GUNLOAD,Are any of these firearms now loaded?
LOADULK2,Are any of these loaded firearms also unlocked?
TYPEWORK,"What kind of work do you do? For example, registered nurse, janitor, cashier, auto mechanic."
TYPEINDS,"What kind of business or industry do you work in? For example, hospital, elementary school, clothing manufacturing, restaurant"
RCSBIRTH,What is the birth month and year of the “Xth” child?
RCSGEND1,Is the child a boy or a girl?
RCSXBRTH,What was the child´s sex on their original birth certificate?
RCHISLA1,"Is the child Hispanic, Latino/a, or Spanish origin?"
RCSRACE2,Description not found
RCSBRAC3,Which one of these groups would you say best represents the child´s race? (If 40 (Asian) or 50 (Pacific Islander)
RCSRLTN2,How are you related to the child? Are you a….
CASTHDX2,"The next two questions are about the Xth child. Has a doctor, nurse or other health professional EVER said that the child has asthma?"
CASTHNO2,Does the child still have asthma?
BIRTHSEX,What was your sex at birth? Was it male or female?
SOMALE,Which of the following best represents how you think of yourself?
SOFEMALE,Which of the following best represents how you think of yourself?
TRNSGNDR,Do you consider yourself to be transgender?
HADSEX,"In the past 12 months, did you have sexual intercourse?"
PFPPRVN4,"The last time you had sexual intercourse, did you or your partner do anything to keep you from getting pregnant?"
TYPCNTR9,"The last time you had sexual intercourse, what did you or your partner do to keep you from getting pregnant?"
BRTHCNT4,"The last time you had sexual intercourse, what else, if anything, did you or your partner do to keep you from"
WHEREGET,Where did you get the [response from Q3] you used when you last had sexual intercourse?
NOBCUSE8,What was your main reason for not doing anything to prevent pregnancy the last time you had sexual intercourse?
BCPREFER,"If you could use any birth control method you wanted, what method would you use?"
RRCLASS3,"How do other people usually classify you in this country? Would you say White, Black or African American,"
RRCOGNT2,"How often do you think about your race? Would you say never, once a year, once a month, once a week, once a"
RRTREAT,"Within the past 12 months, do you feel that in general you were treated worse than, the same as, or better than"
RRATWRK2,"Within the past 12 months at work, do you feel you were treated worse than, the same as, or better than people"
RRHCARE4,"Within the past 12 months when seeking health care, do you feel your experiences were worse than, the same"
RRPHYSM2,"Within the past 30 days, have you experienced any physical symptoms, for example, a headache, an upset"
CALLBACK,We would like to call you again within the next 2 weeks to talk in more detail about (your/your child’s) experiences with
ADLTCHLD,Which household member was selected to be the focus of the callback.
ADHISPA,Adult Hispanic response
CHHISPA,Child Hispanic response
QSTVER,Questionnaire Version Identifier
QSTLANG,Language identifier
CATI_RN,Description not found
CATI_RG,Description not found
CATI_SR,Description not found
CPCOUNTY,Cell Phone County Name
STATEQUE,State Added Questions
OH1_1,"Have you ever had a P.S.A. test?"
OH1_2,"About how long has it been since your most recent P.S.A. test?"
OH1_3,"What was the main reason you had this P.S.A. test – was it for a routine test, because of a problem, or some other reason?"
OH1_4,"Who first suggested that you should have a P.S.A. test – did you suggest it, your doctor, or someone else?"
OH1_5,"Did your doctor or health care professional recommend that you have a P.S.A. test?"
OH2_1,"When was the last time you had your eyes examined by any doctor or eye care provider?"
OH2_2,"What is the reason(s) you had your eyes examined this last time? (check all that apply)"
OH2_3,"What is the main reason you have not visited an eye care professional in the past 12 months?"
OH2_3a,"(If 'Other' to OH2_3) What was the main reason you have not visited an eye care professional?"
OH2_4,"Do you have any kind of health insurance coverage for eye care?"
FALL12MN,"In the past 12 months, how many times have you fallen?"
FALLINJ4,"How many of these falls caused an injury that limited your regular activities for at least a day or caused you to go to see a doctor?"
OH4_1,"Has your Xth child ever played or participated in organized sports, either in school or in a non-school recreation league?"
OH4_2,"How many times has your Xth child ever received an injury or blow to the head that resulted in symptoms of a concussion as a result of playing organized sports?"
OH4_3,"When did the most recent incident occur?"
OH4_4,"Did the most recent incident occur during practice or competition?"
OH4_5,"In what type of sport was the child playing or participating?"
OH4_6,"Was the child removed from play for the day by an adult, such as a coach or trainer?"
OH4_7,"Was the child immediately taken to an emergency room or urgent care center?"
OH4_8,"Was the child checked out later for this injury by a health care professional (e.g., doctor, nurse) or athletic trainer?"
OH4_9,"To your knowledge, does Ohio have a law that requires children in school athletics and non-school youth sports leagues to be removed from play if they sustain a concussion?"
OH4_10,"How did you become aware of the law?"
OH5_1,"In the past year, did you use any pain medications that were prescribed to you by a healthcare provider?"
OH5_2,"The last time you filled a prescription for pain medication, did you use any of the pain medication more frequently or in higher doses than directed?"
OH5_3,"The last time you filled a prescription for pain medication, was there any medication leftover?"
OH5_4,"What did you do with the leftover medication?"
OH5_5,"In the past year, did you use prescription pain medication that was NOT prescribed to you?"
OH5_6,"The last time you used prescription pain medication not prescribed to you, how did you obtain the medication?"
OH5_7,"What was the main reason you used prescription pain medications not prescribed to you?"
OH5_8,"Have you ever used heroin?"
OH5_9,"Have you ever used methadone, suboxone, or subutex to treat an addiction?"
OH5_10,"Have you used Naloxone (nal-ox-one) on someone else to reverse a suspected overdose?"
OH6_1,"Have you recently lost weight without trying?"
OH6_2,"If yes, how much weight have you lost?"
OH6_3,"Have you been eating poorly because of a decreased appetite?"
OH6_4,"Has food intake declined over the past 3 months due to chewing or swallowing difficulties?"
OH7_1,"Over the last 2 weeks, how many days have you had little interest or pleasure in doing things?"
OH7_2,"Over the last 2 weeks, how many days have you felt down, depressed, or hopeless?"
OH7_3,"Over the last 2 weeks, how many days have you had trouble falling asleep or staying asleep or sleeping too much?"
OH7_4,"Over the last 2 weeks, how many days have you felt tired or had little energy?"
OH7_5,"Has a doctor, nurse, or other health professional ever told you that you had a depressive disorder, including depression, major depression, dysthymia, or minor depression?"
OH8_1,"In your lifetime, have you ever been hospitalized or treated in an emergency room following an injury to your head or neck?"
OH8_2,"In your lifetime, have you ever been injured in a vehicular accident, such as a car, motorcycle, or ATV crash?"
OH8_3,"In your lifetime, have you ever been injured in a fall?"
OH8_4,"In your lifetime, have you ever been injured in a fight or assault?"
OH8_5,"In your lifetime, have you ever been near an explosion or blast?"
OH8_6,"Have you ever been injured playing sports or on a playground?"
OH8_7,"Were you ever knocked out or did you lose consciousness from any of the injuries you reported above?"
OH8_8,"What was the longest time you were knocked out or unconscious?"
OH8_9,"How old were you the first time you were knocked out or lost consciousness?"
OH8_10,"How many times in your life have you been knocked out?"
OH8_11,"If you were not knocked out, did you have a dazed or confused feeling or a gap in your memory from the injury?"
INTRO,"Introduction to State-Added Questions"
OH9_1,"Have you ever been threatened with physical violence by an intimate partner?"
OH9_2,"Have you ever been slapped, pushed, kicked, choked, or hit by an intimate partner?"
OH9_3,"Have you ever been forced to have sex by an intimate partner?"
OH9_4,"Are you afraid of your current partner?"
OH9_5,"In the past 12 months, have you been threatened with physical violence by an intimate partner?"
OH9_6,"In the past 12 months, have you been slapped, pushed, kicked, choked, or hit by an intimate partner?"
OH9_7,"In the past 12 months, have you been forced to have sex by an intimate partner?"
OTH_Tob_1,"Do you currently use other tobacco products every day, some days, or not at all? (Chewing tobacco, snuff, snus)"
OTH_Tob_2,"Do you smoke cigars every day, some days, or not at all?"
OTH_Tob_3,"Do you now smoke little cigars or cigarillos, such as Black and Mild's, every day, some days, or not at all?"
OTH_Tob_4,"Do you now smoke a water pipe or hookah every day, some days, or not at all?"
OTH_Tob_5,"Do you now use any flavored e-cigarette or tobacco products every day, some days, or not at all?"
OTH_Tob_6,"Do you now use any flavored e-cigarette or tobacco products every day, some days, or not at all?"
OTH_Tob_8,"Where do you buy your e-cigarettes or vaping products?"
SHS_1,"In the last 7 days, have you been exposed to vapor from someone who was using an e-cigarette or other electronic vaping product near you?"
SHS_2,"In the last 7 days, have you been exposed to secondhand smoke from someone who was smoking a cigarette or other tobacco product near you?"
SHS_3a,"In which of the following places were you exposed to secondhand smoke: In your home?"
SHS_3b,"In which of the following places were you exposed to secondhand smoke: At home, from someone smoking in another apartment/unit attached to yours?"
SHS_3c,"In which of the following places were you exposed to secondhand smoke: In a car or other vehicle?"
SHS_3d,"In which of the following places were you exposed to secondhand smoke: At work?"
SHS_3e,"In which of the following places were you exposed to secondhand smoke: At school?"
SHS_3f,"In which of the following places were you exposed to secondhand smoke: In an indoor public place such as a building lobby, mall, or enclosed stadium?"
SHS_3g,"In which of the following places were you exposed to secondhand smoke: In an outdoor public place such as a park, sidewalk, or outdoor sporting event?"
SHS_4,"Thinking now about your home, which best describes the building you live in?"
SHS_6,"Which statement best describes the rules about using e-cigarettes or vaping products inside your home?"
ATS_1,"About how old were you the first time you smoked part or all of a cigarette?"
ATS_2,"About how old were you when you first started smoking cigarettes fairly regularly?"
ATS_3,"On average, about how many cigarettes a day do you now smoke?"
ATS_4a,"On the days that you smoke, how soon after you wake up do you smoke your first cigarette?"
ATS_4b,"Do you mostly smoke menthol or non-menthol cigarettes?"
ATS_4c,"Which of the following brands do you smoke most often?"
ATS_5,"In the past 30 days, on how many days did you vape marijuana?"
ATS_6,"Where do you obtain the marijuana you use within e-cigarette or vapor products?"
ATS_7,"In the past 30 days, on how many days did you vape CBD oil?"
ATS_8,"Where do you obtain the CBD oil you use within e-cigarette or vapor products?"
ATS_9,"During the past 12 months, did any doctor, nurse, or other health professional ask if you smoke?"
ATS_10,"During the past 12 months, did any doctor, nurse, or other health professional advise you to quit smoking?"
ATS_11,"During the past 12 months, did any doctor, nurse, or other health professional ask if you use e-cigarettes or vape?"
ATS_12,"During the past 12 months, did any doctor, nurse, or other health professional advise you to quit using e-cigarettes or vaping?"
ATS_13,"Have you used any of the following to help you quit using tobacco: Nicotine replacement products (gum, patch, lozenge)?"
ATS_14,"Have you used any of the following to help you quit using tobacco: Prescription medication (Chantix, Zyban)?"
ATS_15,"Have you used any of the following to help you quit using tobacco: Counseling or classes?"
ATS_16,"Have you used any of the following to help you quit using tobacco: E-cigarettes or vaping products?"
ATS_17,"Have you used any of the following to help you quit using tobacco: Cold turkey / Just stopped?"
ATS_18,"Have you used any of the following to help you quit using tobacco: Traditional methods (acupuncture, hypnosis)?"
ATS_19,"Have you used any of the following to help you quit using tobacco: Quitline or telephone support?"
ATS_20,"Have you used any of the following to help you quit using tobacco: A mobile app or texting program?"
ATS_22,"Which statement best describes the rules about smoking inside your home?"
ATS_23,"Do you think that breathing smoke from other people's cigarettes is harmful to one's health?"
ATS_24,"Do you think that breathing vapor from other people's e-cigarettes is harmful to one's health?"
ATS_25,"How much do you favor or oppose banning the sale of all tobacco products, including e-cigarettes, in your community?"
ATS_26,"How much do you favor or oppose banning the sale of flavored tobacco products?"
ATS_27,"How much do you favor or oppose banning the sale of menthol cigarettes?"
ATS_28,"Tobacco use of any kind should not be allowed in outdoor public spaces. Do you agree or disagree?"
ATS_29,"In July 2019, Ohio passed a law that raised the minimum age to buy tobacco products from 18 to 21 years. How would you rate your approval of the law?"
ATS_30,"E-cigarettes and other electronic vaping products should be treated the same as regular cigarettes in terms of tobacco laws and policies. Do you agree or disagree?"
ATS_31,"Stores that sell tobacco products should not be allowed near schools. Do you agree or disagree?"
ATS_32,"How likely would you be to ask a stranger to not smoke or vape around you?"
ATS_33,"How likely would you be to ask a friend or family member to not smoke or vape around you?"
ATS_34,"Do you believe you have a right to breathe clean air in public places?"
ATS_35,"Would you support a policy that prohibits smoking and vaping in multi-unit housing complexes?"
ATS_36,"Would you favor or oppose a tax increase on tobacco products?"
EOR,End of Data-Submission Record Marker
_URBNRRL,NCHS Urban-Rural Classification
_METSTAT,Metropolitan Status
_URBSTAT,Urban/Rural Status
_MSACODE,FIPS Metropolitan Statistical Area Code
MSCODE,Metropolitan Status Code
_STSTR,Sample Design Stratification Variable (Prior to 2011: _STSTR is a five digit number that combines the values for
_STRWT,Stratum weight (Number of records in a stratum (NRECSTR) divided by the number of records selected (NRECSEL).)
_RAW,Raw weighting factor (Number of adults in the household (NUMADULT) divided by the imputed number of
_WT2,Design weight (Stratum weight (_STRWT) multiplied by the raw weighting factor (_RAW).)
_RAWRAKE,"Raw weighting factor used in raking (Number of adults in the household (NUMADULT, maximum of 5) divided by"
_WT2RAKE,Design weight used in raking (Stratum weight (_STRWT) multiplied by the raw weighting factor (_RAWRAKE).)
